Contig Number,Accession,Species,Gene ID,Gene Name,E-value
XP_004871345.1,A6QQ59,Aedes aegypti,AAEL007634,Keratinocyte-associated protein 2 OS=Bos ,2.00E-24
XP_004871344.1,Q8N6L1,Aedes aegypti,AAEL007634,Keratinocyte-associated protein 2 OS=Homo ,2.00E-24
XP_004869074.1,P28480,Aeropyrum pernix,thsA,T-complex protein 1 subunit alpha OS=Rattus ,4.00E-125
XP_004873772.1,P19015,Alces alces,HBA,Hemoglobin subunit alpha OS=Hippopotamus ,2.00E-56
XP_004873938.1,Q6ZPG2,Anabaena sp,HET-E1,WD repeat-containing protein 90 OS=Mus ,8.00E-22
XP_004875178.1,Q9N0W8,Aotus nancymaae,NR3C2,Mineralocorticoid receptor OS=Saimiri sciureus ,0
XP_004875651.1,P49736,Arabidopsis thaliana,MCM8,DNA replication licensing factor MCM2 OS=Homo ,4.00E-20
XP_004875376.1,P51809,Arabidopsis thaliana,vamp7B,Vesicle-associated membrane protein 7 OS=Homo ,2.00E-48
XP_004875099.1,Q7Z769,Arabidopsis thaliana,slc35c1,Solute carrier family 35 member E3 OS=Homo ,4.00E-12
XP_004875098.1,Q7Z769,Arabidopsis thaliana,mdm4,Solute carrier family 35 member E3 OS=Homo ,0
XP_004874559.1,O14757,Arabidopsis thaliana,CIPK32,Serine/threonine-protein kinase Chk1 OS=Homo ,6.00E-62
XP_004874558.1,O14757,Arabidopsis thaliana,CIPK32,Serine/threonine-protein kinase Chk1 OS=Homo ,6.00E-62
XP_004874557.1,O14757,Arabidopsis thaliana,CIPK32,Serine/threonine-protein kinase Chk1 OS=Homo ,6.00E-62
XP_004874226.1,Q4R7L3,Arabidopsis thaliana,rpt-3,26S protease regulatory subunit 6B OS=Macaca ,0
XP_004874225.1,Q4R7L3,Arabidopsis thaliana,rpt-3,26S protease regulatory subunit 6B OS=Macaca ,0
XP_004873909.1,Q9C0B0,Arabidopsis thaliana,At3g55980,RING finger protein unkempt homolog OS=Homo ,5.00E-11
XP_004873908.1,Q9C0B0,Arabidopsis thaliana,At3g55980,RING finger protein unkempt homolog OS=Homo ,6.00E-11
XP_004873875.1,Q96S16,Arabidopsis thaliana,At1g78280,JmjC domain-containing protein 8 OS=Homo ,5.00E-21
XP_004873874.1,Q96S16,Arabidopsis thaliana,At1g78280,JmjC domain-containing protein 8 OS=Homo ,3.00E-19
XP_004873873.1,Q96S16,Arabidopsis thaliana,At1g78280,JmjC domain-containing protein 8 OS=Homo ,7.00E-15
XP_004873872.1,Q96S16,Arabidopsis thaliana,At1g78280,JmjC domain-containing protein 8 OS=Homo ,6.00E-13
XP_004873588.1,Q9BYP7,Arabidopsis thaliana,WNK6,Serine/threonine-protein kinase WNK3 OS=Homo ,3.00E-88
XP_004873587.1,Q9BYP7,Arabidopsis thaliana,WNK6,Serine/threonine-protein kinase WNK3 OS=Homo ,3.00E-88
XP_004873586.1,Q9BYP7,Arabidopsis thaliana,WNK6,Serine/threonine-protein kinase WNK3 OS=Homo ,4.00E-88
XP_004873585.1,Q9BYP7,Arabidopsis thaliana,WNK6,Serine/threonine-protein kinase WNK3 OS=Homo ,4.00E-88
XP_004873584.1,Q9BYP7,Arabidopsis thaliana,WNK6,Serine/threonine-protein kinase WNK3 OS=Homo ,3.00E-88
XP_004873583.1,Q9BYP7,Arabidopsis thaliana,WNK6,Serine/threonine-protein kinase WNK3 OS=Homo ,4.00E-88
XP_004873109.1,Q52NJ0,Arabidopsis thaliana,PRA1E,Prenylated Rab acceptor protein 1 OS=Sus ,1.00E-12
XP_004870122.1,Q3UH66,Arabidopsis thaliana,WNK7,Serine/threonine-protein kinase WNK2 OS=Mus ,2.00E-75
XP_004870121.1,Q3UH66,Arabidopsis thaliana,WNK7,Serine/threonine-protein kinase WNK2 OS=Mus ,8.00E-21
XP_004870120.1,Q3UH66,Arabidopsis thaliana,WNK7,Serine/threonine-protein kinase WNK2 OS=Mus ,2.00E-75
XP_004870099.1,O94855,Arabidopsis thaliana,At4g32640,Protein transport protein Sec24D OS=Homo ,4.00E-129
XP_004870098.1,O94855,Arabidopsis thaliana,At4g32640,Protein transport protein Sec24D OS=Homo ,3.00E-139
XP_004870097.1,O94855,Arabidopsis thaliana,At4g32640,Protein transport protein Sec24D OS=Homo ,7.00E-140
XP_004869988.1,Q9D287,Arabidopsis thaliana,spf27,Pre-mRNA-splicing factor SPF27 OS=Mus musculus ,1.00E-13
XP_004868689.1,Q92925,Arabidopsis thaliana,snf12-1,SWI/SNF-related matrix-associated actin-dependent ,6.00E-52
XP_004868688.1,O54772,Arabidopsis thaliana,snf12-1,SWI/SNF-related matrix-associated actin-dependent ,2.00E-50
XP_004868687.1,O54772,Arabidopsis thaliana,snf12-1,SWI/SNF-related matrix-associated actin-dependent ,3.00E-50
XP_004868551.1,Q8WY91,Arabidopsis thaliana,THAP5,THAP domain-containing protein 4 OS=Homo ,6.00E-17
XP_004868682.1,Q9DBE9,Aspergillus fumigatus,SPB1,Putative rRNA methyltransferase 3 OS=Mus ,4.00E-116
XP_004869694.1,A8T6A1,Ateles geoffroyi,PCSK9,Proprotein convertase subtilisin/kexin ,0
XP_004869693.1,A8T6A1,Ateles geoffroyi,PCSK9,Proprotein convertase subtilisin/kexin ,0
XP_004869691.1,A8T6A1,Ateles geoffroyi,PCSK9,Proprotein convertase subtilisin/kexin ,0
XP_004868393.1,Q8K2L8,Bacillus cereu,Adi1,Tetratricopeptide repeat protein 15 OS=Mus ,1.00E-81
XP_004872980.1,Q9UIF7,Bacillus subtilis,mutY,A/G-specific adenine DNA glycosylase OS=Homo ,5.00E-49
XP_004872979.1,Q9UIF7,Bacillus subtilis,mutY,A/G-specific adenine DNA glycosylase OS=Homo ,3.00E-54
XP_004872978.1,Q9UIF7,Bacillus subtilis,mutY,A/G-specific adenine DNA glycosylase OS=Homo ,3.00E-54
XP_004872977.1,Q9UIF7,Bacillus subtilis,mutY,A/G-specific adenine DNA glycosylase OS=Homo ,5.00E-57
XP_004872976.1,Q9UIF7,Bacillus subtilis,mutY,A/G-specific adenine DNA glycosylase OS=Homo ,5.00E-54
XP_004872496.1,Q9BV20,Bacillus thuringiensis,mtnA2,Methylthioribose-1-phosphate isomerase OS=Homo ,1.00E-48
XP_004875463.1,Q08DZ3,Bos t,ELMOD2,ELMO domain-containing protein 2 OS=Bos ,0
XP_004874446.1,Q32KW2,Bos t,C11orf83,UBX domain-containing protein 1 OS=Bos ,1.00E-20
XP_004874282.1,Q96DU7,Bos t,si:dkey-233h2.2,Inositol-trisphosphate 3-kinase C OS=Homo ,2.00E-77
XP_004868961.1,Q13480,Bos t,GAB1,GRB2-associated-binding protein 1 OS=Homo ,0
XP_004868959.1,Q13480,Bos t,GAB1,GRB2-associated-binding protein 1 OS=Homo ,0
XP_004868717.1,Q9MYX8,Bos t,MAPT,Microtubule-associated protein tau OS=Papio ,1.00E-166
XP_004868715.1,Q9MYX8,Bos t,MAPT,Microtubule-associated protein tau OS=Papio ,1.00E-180
XP_004868713.1,O02828,Bos t,MAPT,Microtubule-associated protein tau OS=Capra ,0
XP_004874448.1,Q32KW2,Bos ta,UBXN1,UBX domain-containing protein 1 OS=Bos ,3.00E-123
XP_004873298.1,Q08E57,Bos ta,MERIT40,BRCA1-A complex subunit MERIT40 OS=Bos ,0
XP_004873296.1,Q9NWV8,Bos ta,MERIT40,BRCA1-A complex subunit MERIT40 OS=Homo ,0
XP_004872017.1,A2T806,Bos ta,PQBP1,Polyglutamine-binding protein 1 OS=Pongo ,8.00E-144
XP_004875655.1,Q4JHS0,Bos tauru,Tkt,BH3-interacting domain death agonist OS=Sus ,1.00E-48
XP_004875653.1,Q99MX0,Bos taurus,TKTL1,Transketolase-like protein 1 OS=Mus musculus ,1.00E-26
XP_004875648.1,P48734,Bos taurus,CDC2,Cell division control protein 2 homolog ,1.00E-85
XP_004875583.1,P01286,Bos taurus,Ghrh,Somatoliberin OS=Homo sapiens GN=GHRH PE=1 ,2.00E-21
XP_004875508.1,P11766,Bos taurus,ADH5,Alcohol dehydrogenase class-3 OS=Homo sapiens ,0
XP_004875483.1,P06756,Bos taurus,ADH1,Integrin alpha-V OS=Homo sapiens GN=ITGAV ,2.00E-166
XP_004875386.1,Q96JG8,Bos taurus,MAGED4,Melanoma-associated antigen D4 OS=Homo ,0
XP_004875385.1,Q96JG8,Bos taurus,MAGED4,Melanoma-associated antigen D4 OS=Homo ,0
